Gender,Age,Height(cm),Weight(kg),BMI,Running Time(min),Running Speed(km/h),Distance(km),Average Heart Rate,Calories Burned
Male,49,184,74,20.4,78,9.5,3.0,139,973
Female,56,182,70,23.2,98,10.2,5.23,165,494
Male,49,170,85,27.4,91,10.4,7.61,134,954
Male,21,181,59,24.0,89,13.4,14.19,144,570
Male,47,172,86,29.8,79,9.8,3.84,149,385
Female,54,182,58,22.8,107,10.7,3.11,133,445
Male,40,152,73,27.1,104,12.0,3.63,126,836
Male,56,167,84,23.0,38,10.0,4.06,136,467
Male,62,174,98,28.0,63,13.7,3.45,163,842
Female,32,191,84,25.0,105,11.7,8.76,139,436
Male,60,180,97,19.2,64,9.4,9.97,155,729
Male,46,152,85,18.9,30,12.7,6.26,128,751
Male,53,189,67,20.0,69,11.2,7.78,157,220
Male,30,195,98,18.7,93,11.3,4.1,167,936
Female,49,173,88,19.4,51,10.8,7.04,176,993
Male,24,199,81,26.5,89,11.0,9.27,179,719
Female,39,181,73,24.6,93,13.1,11.79,141,299
Female,45,196,72,27.1,101,7.8,3.04,173,951
Female,19,171,81,29.0,40,9.7,8.61,172,677
Male,59,172,86,25.2,43,7.6,6.56,172,798
Female,62,151,61,26.9,89,13.0,13.23,121,497
Male,23,176,98,27.2,59,9.2,11.59,143,725
Female,45,191,62,22.8,64,14.2,10.07,127,533
Female,45,151,72,21.3,114,11.2,6.33,130,201
Female,61,175,74,20.9,66,13.4,13.92,132,574
Female,61,166,84,21.4,34,14.8,3.54,136,492
Female,37,189,90,21.7,112,13.7,4.31,127,752
Female,47,182,79,20.9,107,13.9,7.7,140,517
Female,28,158,66,28.6,55,10.3,4.49,137,701
Female,45,192,98,27.2,91,11.4,14.48,149,580
Male,42,197,69,19.0,33,9.0,12.58,137,822
Male,56,188,97,21.6,118,8.6,6.11,165,213
Female,50,178,74,18.8,71,11.0,10.06,166,703
Female,18,191,71,24.2,118,11.8,14.79,150,430
Female,44,175,62,24.0,47,9.7,13.61,157,283
Male,30,184,68,28.1,69,11.6,10.21,151,329
Female,58,199,98,22.0,101,14.1,13.84,130,942
Male,20,174,85,27.9,68,11.5,14.87,164,344
Male,56,173,61,29.6,43,12.8,11.92,144,227
Male,23,162,90,19.5,61,13.4,3.78,152,265
Male,25,156,68,27.6,80,14.9,7.82,179,362
Male,44,185,61,25.3,67,11.8,13.05,157,428
Female,26,194,58,24.0,52,13.5,5.77,160,460
Female,54,169,56,23.3,92,14.7,12.97,127,648
Female,50,150,77,27.5,44,14.6,4.44,130,623
Female,59,157,63,25.9,54,8.1,3.56,141,659
Female,61,195,80,27.8,46,10.3,7.61,170,875
Male,41,165,68,28.9,95,9.6,3.44,143,500
Female,32,163,96,25.6,107,7.7,14.49,160,502
Female,49,161,65,29.8,82,12.1,12.91,136,486
Male,49,172,54,25.5,80,12.9,12.61,131,594
Female,41,164,84,25.8,68,13.8,10.56,176,209
Male,58,177,61,24.9,80,8.0,5.6,165,906
Female,29,183,74,19.5,99,14.0,9.22,151,829
Male,56,151,70,26.9,35,12.1,10.17,134,469
Female,19,181,85,24.8,96,12.6,9.3,135,791
Female,20,172,72,23.7,36,14.3,6.12,173,804
Male,54,171,65,29.0,80,12.0,9.18,141,977
Male,34,174,88,21.9,101,9.7,8.89,147,560
Male,19,171,94,24.5,71,13.6,14.96,139,456
Male,19,171,91,26.5,93,9.9,13.77,152,332
Male,45,198,88,27.7,44,7.3,8.56,129,475
Male,40,191,63,23.8,58,13.6,10.48,159,975
Male,54,155,80,28.2,62,9.8,11.97,151,882
Male,49,164,54,27.3,56,13.2,3.42,169,712
Female,50,192,84,19.3,65,9.9,13.74,179,512
Female,18,186,72,19.0,58,13.9,13.32,152,775
Male,36,182,78,25.6,67,8.8,8.49,121,483
Female,19,157,92,22.5,86,14.8,7.69,152,320
Female,61,193,60,20.9,56,13.2,6.28,152,306
Female,43,193,67,25.2,84,7.9,8.72,160,886
Female,49,154,96,22.4,62,11.5,3.53,132,403
Male,23,188,61,24.7,97,14.9,13.23,149,364
Female,49,153,58,23.8,115,10.8,3.43,152,504
Male,21,155,59,25.2,95,8.5,6.95,132,696
Female,28,194,93,23.1,39,10.9,14.18,171,831
Female,34,181,66,26.5,34,11.1,11.82,145,755
Female,55,179,87,20.6,103,12.9,6.38,141,355
Male,41,196,56,26.5,67,12.6,6.03,158,566
Female,22,184,95,23.2,42,10.2,3.06,121,918
Male,51,189,62,28.6,60,8.7,11.35,157,819
Female,23,165,89,24.4,76,12.2,3.59,158,450
Male,39,162,91,29.7,117,10.4,9.39,145,533
Female,28,199,58,25.4,81,8.1,14.55,165,841
Male,33,191,99,21.1,85,14.2,4.31,177,710
Male,50,179,76,28.0,44,12.5,13.73,169,492
Female,26,168,51,22.5,58,12.5,14.9,134,219
Male,23,166,54,22.5,37,13.6,3.74,153,481
Female,33,168,78,18.9,34,11.2,13.59,161,996
Female,46,177,86,24.8,58,13.5,9.19,174,200
Female,20,175,87,24.6,76,11.0,13.88,163,318
Female,37,186,68,22.6,97,7.5,9.86,168,234
Female,53,175,57,28.8,105,10.2,10.95,159,397
Female,36,172,97,20.0,74,11.0,9.53,130,684
Female,43,158,94,22.3,31,12.8,13.37,122,956
Female,20,161,50,22.2,56,7.9,11.81,178,258
Female,36,150,71,19.6,65,8.1,9.26,125,360
Female,37,150,66,24.0,65,9.1,13.42,128,890
Female,49,196,56,26.4,55,9.1,5.94,125,405
Male,24,183,74,24.4,72,12.9,4.89,128,211
Male,58,181,94,20.3,56,9.0,4.92,158,689
Female,50,197,53,22.8,98,12.1,7.01,150,475
Female,57,174,85,18.5,49,11.0,5.86,151,892
Female,56,189,55,28.5,40,11.6,14.16,160,441
Female,35,194,80,19.5,103,13.7,4.27,169,415
Female,57,150,68,25.4,67,10.2,11.39,131,450
Female,18,165,93,29.8,35,13.2,5.27,127,325
Female,28,188,88,24.7,101,10.4,13.58,127,416
Female,45,154,76,29.1,52,9.8,14.54,169,505
Male,42,171,59,21.2,76,14.7,8.59,147,996
Female,40,178,75,27.2,119,8.5,13.55,139,384
Male,48,152,68,24.6,75,7.7,3.06,166,238
Female,47,161,88,26.8,41,13.2,12.84,178,422
Female,59,175,52,19.2,119,7.5,5.74,126,383
Male,52,165,94,20.2,42,13.7,13.9,130,694
Female,24,186,62,20.0,91,10.5,3.01,139,626
